"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"94","05/13","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"95","05/13","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"96","05/14","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"97","05/14","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"98","05/14","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"99","05/15","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"100","05/16","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"101","05/16","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"102","05/16","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"103","05/17","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"104","05/17","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"105","05/17","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"106","05/18","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"107","05/18","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"108","05/18","例行賽","樂天桃猿","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"109","05/20","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"110","05/20","例行賽","樂天桃猿","台鋼雄鷹","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"111","05/21","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"112","05/21","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"113","05/22","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"114","05/23","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"115","05/23","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"116","05/23","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"117","05/24","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"118","05/24","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"119","05/24","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"120","05/25","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"121","05/25","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"122","05/25","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"123","05/27","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"124","05/27","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"125","05/28","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"126","05/28","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"127","05/28","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"128","05/30","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"129","05/30","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"130","05/30","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"131","05/31","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"132","05/31","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"133","05/31","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"134","06/01","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"135","06/01","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"136","06/01","例行賽","樂天桃猿","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"137","06/03","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"138","06/03","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"139","06/04","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
